name,instrument_token
INFY,408065
LT,2939649
BHARTIARTL,2714625
TCS,2953217
ADANIENT,6401
HCLTECH,1850625
ADANIPORTS,3861249
M&M,519937
HINDALCO,348929
HINDUNILVR,356865
ONGC,633601
KOTAKBANK,492033
HEROMOTOCO,345089
ASIANPAINT,60417
GRASIM,315393
COALINDIA,5215745
WIPRO,969473
HDFCLIFE,119553
NESTLEIND,4598529
TECHM,3465729
ULTRACEMCO,2952193
BRITANNIA,140033
SUNPHARMA,857857
CIPLA,177665
TATACONSUM,878593
UPL,2889473
BPCL,134657
SBILIFE,5582849
LTIM,4561409
POWERGRID,3834113
DIVISLAB,2800641
ICICIBANK,1270529
EICHERMOT,232961
TITAN,897537
MARUTI,2815745
APOLLOHOSP,40193
AXISBANK,1510401
HDFCBANK,341249
SBIN,779521
RELIANCE,738561
ITC,424961
INDUSINDBK,1346049
BAJFINANCE,81153
TATASTEEL,895745
JSWSTEEL,3001089
TATAMOTORS,884737
BAJAJFINSV,4268801
NTPC,2977281
DRREDDY,225537
BAJAJ-AUTO,4267265
AUBANK,5436929
PNB,2730497
IDFCFIRSTB,2863105
BANDHANBNK,579329
FEDERALBNK,261889
BANKBARODA,1195009
