name,instrument_token
AARTIIND,1793
ABB,3329
ABBOTINDIA,4583169
ABCAPITAL,5533185
ABFRL,7707649
ACC,5633
ADANIENT,6401
ADANIPORTS,3861249
ALKEM,2995969
AMBUJACEM,325121
APOLLOHOSP,40193
APOLLOTYRE,41729
ASHOKLEY,54273
ASIANPAINT,60417
ASTRAL,3691009
ATUL,67329
AUBANK,5436929
AUROPHARMA,70401
AXISBANK,1510401
BAJAJ-AUTO,4267265
BAJAJFINSV,4268801
BAJFINANCE,81153
BALKRISIND,85761
BALRAMCHIN,87297
BANDHANBNK,579329
BANKBARODA,1195009
BATAINDIA,94977
BEL,98049
BERGEPAINT,103425
BHARATFORG,108033
BHARTIARTL,2714625
BHEL,112129
BIOCON,2911489
BOSCHLTD,558337
BPCL,134657
BRITANNIA,140033
BSOFT,1790465
CANBK,2763265
CANFINHOME,149249
CHAMBLFERT,163073
CHOLAFIN,175361
CIPLA,177665
COALINDIA,5215745
COFORGE,2955009
COLPAL,3876097
CONCOR,1215745
COROMANDEL,189185
CROMPTON,4376065
CUB,1459457
CUMMINSIND,486657
DABUR,197633
DALBHARAT,2067201
DEEPAKNTR,5105409
DIVISLAB,2800641
DIXON,5552641
DLF,3771393
DRREDDY,225537
EICHERMOT,232961
ESCORTS,245249
EXIDEIND,173057
FEDERALBNK,261889
GAIL,1207553
GLENMARK,1895937
GMRINFRA,3463169
GNFC,300545
GODREJCP,2585345
GODREJPROP,4576001
GRANULES,3039233
GRASIM,315393
GUJGASLTD,2713345
HAL,589569
HAVELLS,2513665
HCLTECH,1850625
HDFCAMC,1086465
HDFCBANK,341249
HDFCLIFE,119553
HEROMOTOCO,345089
HINDALCO,348929
HINDCOPPER,4592385
HINDPETRO,359937
HINDUNILVR,356865
ICICIBANK,1270529
ICICIGI,5573121
ICICIPRULI,4774913
IDEA,3677697
IDFC,3060993
IDFCFIRSTB,2863105
IEX,56321
IGL,2883073
INDHOTEL,387073
INDIACEM,387841
INDIAMART,2745857
INDIGO,2865921
INDUSINDBK,1346049
INDUSTOWER,7458561
INFY,408065
IOC,415745
IPCALAB,418049
IRCTC,3484417
ITC,424961
JINDALSTEL,1723649
JKCEMENT,3397121
JSWSTEEL,3001089
JUBLFOOD,4632577
KOTAKBANK,492033
L&TFH,6386689
LALPATHLAB,2983425
LAURUSLABS,4923905
LICHSGFIN,511233
LT,2939649
LTIM,4561409
LTTS,4752385
LUPIN,2672641
M&M,519937
M&MFIN,3400961
MANAPPURAM,4879617
MARICO,1041153
MARUTI,2815745
MCDOWELL-N,2674433
MCX,7982337
METROPOLIS,2452737
MFSL,548353
MGL,4488705
MOTHERSON,1076225
MPHASIS,1152769
MRF,582913
MUTHOOTFIN,6054401
NATIONALUM,1629185
NAUKRI,3520257
NAVINFLUOR,3756033
NESTLEIND,4598529
NMDC,3924993
NTPC,2977281
OBEROIRLTY,5181953
OFSS,2748929
ONGC,633601
PAGEIND,3689729
PEL,617473
PERSISTENT,4701441
PETRONET,2905857
PFC,3660545
PIDILITIND,681985
PIIND,6191105
PNB,2730497
POLYCAB,2455041
POWERGRID,3834113
PVRINOX,3365633
RAMCOCEM,523009
RBLBANK,4708097
RECLTD,3930881
RELIANCE,738561
SAIL,758529
SBICARD,4600577
SBILIFE,5582849
SBIN,779521
SHREECEM,794369
SHRIRAMFIN,1102337
SIEMENS,806401
SRF,837889
SUNPHARMA,857857
SUNTV,3431425
SYNGENE,2622209
TATACHEM,871681
TATACOMM,952577
TATACONSUM,878593
TATAMOTORS,884737
TATAPOWER,877057
TATASTEEL,895745
TCS,2953217
TECHM,3465729
TITAN,897537
TORNTPHARM,900609
TRENT,502785
TVSMOTOR,2170625
UBL,4278529
ULTRACEMCO,2952193
UPL,2889473
VEDL,784129
VOLTAS,951809
WIPRO,969473
ZEEL,975873
ZYDUSLIFE,2029825
